epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.7951,1.62125,3.20735,1.88349,0.00046,0.13657,0.00035,0.0001,3.36646,inf,58.5093,0.0644483,0.00348178,0.00348178
2,73.6958,1.77212,2.74,1.99287,0.35108,0.17554,0.01319,0.00585,2.24961,269.629,3.88262,0.028327,0.00676569,0.00676569
3,113.796,1.64705,2.40372,1.87803,0.46487,0.32896,0.302,0.13598,1.67935,4.20835,2.2434,0.00833092,0.00833092,0.00833092
4,153.694,1.51911,2.24768,1.76478,0.63168,0.47468,0.50815,0.2951,1.44105,2.50218,1.80142,0.00803638,0.00803638,0.00803638
5,194.524,1.45559,2.10939,1.71094,0.86458,0.32193,0.4135,0.22459,1.59682,2.62421,2.12406,0.00774183,0.00774183,0.00774183
6,235.077,1.3559,1.91202,1.60755,0.55981,0.34788,0.40443,0.19207,1.84876,4.57176,2.42557,0.00744729,0.00744729,0.00744729
1,42.6746,1.22082,1.71742,1.50254,0.00038,0.16821,0.00039,8e-05,2.97967,inf,67.2179,0.0292761,0.00228221,0.00228221
2,87.6032,1.453,1.6078,1.68303,0.02351,0.04675,0.00389,0.00142,3.5718,inf,48.7806,0.00841371,0.00457935,0.00457935
3,134.82,1.37397,1.43704,1.63546,0.49399,0.40866,0.40918,0.23941,1.54441,2.1983,1.89856,0.00495879,0.00495879,0.00495879
4,184.263,1.29763,1.32375,1.54621,0.57759,0.43043,0.46846,0.3104,1.25059,2.21497,1.63058,0.00495727,0.00495727,0.00495727
5,236.427,1.24936,1.25647,1.51757,0.7214,0.62495,0.66264,0.43568,1.18693,1.41066,1.49992,0.00495515,0.00495515,0.00495515
6,290.548,1.21844,1.21523,1.489,0.68113,0.58425,0.63311,0.41314,1.15839,1.51823,1.52904,0.00495242,0.00495242,0.00495242
7,344.394,1.15669,1.12162,1.43854,0.82912,0.63105,0.72626,0.48559,1.03617,1.0181,1.40112,0.00494908,0.00494908,0.00494908
8,398.289,1.15855,1.10637,1.42923,0.7613,0.66409,0.7244,0.46553,1.02141,1.12039,1.3647,0.00494514,0.00494514,0.00494514
9,451.997,1.08069,1.05066,1.37919,0.75651,0.57087,0.6845,0.46412,1.06424,1.12204,1.42535,0.0049406,0.0049406,0.0049406
1,73.0988,1.41555,2.12706,1.6947,0,0,0,0,nan,nan,nan,0.0292761,0.00228221,0.00228221
1,69.9374,0.38402,0.25969,0.88892,0.95008,0.88223,0.92476,0.8344,0.40889,0.38077,0.92636,0.0292761,0.00228221,0.00228221
2,147.348,0.48817,0.34105,0.94462,0.95073,0.89185,0.92584,0.7912,0.50583,0.43325,0.99649,0.00841371,0.00457935,0.00457935
3,225.614,0.55302,0.41355,0.98263,0.9283,0.87376,0.91231,0.7758,0.51999,0.45194,1.00465,0.00495879,0.00495879,0.00495879
4,309.162,0.55529,0.42872,0.98396,0.9572,0.84575,0.9185,0.78231,0.5434,0.43783,1.02977,0.00495727,0.00495727,0.00495727
5,393.197,0.58163,0.43983,1.01056,0.93991,0.85694,0.90933,0.78007,0.50043,0.45403,0.98947,0.00495515,0.00495515,0.00495515
6,476.586,0.54303,0.40666,0.98017,0.95486,0.86259,0.91998,0.79263,0.47382,0.41108,0.95418,0.00495242,0.00495242,0.00495242
7,557.239,0.55239,0.40735,0.98717,0.95973,0.8696,0.92222,0.78385,0.49562,0.42138,1.00769,0.00494908,0.00494908,0.00494908
8,636.481,0.54603,0.39661,0.98207,0.94251,0.87398,0.92029,0.80674,0.49098,0.43717,0.97662,0.00494514,0.00494514,0.00494514
9,716.803,0.55389,0.40757,0.99497,0.91376,0.86931,0.91024,0.78057,0.5281,0.45951,1.03277,0.0049406,0.0049406,0.0049406
10,799.939,0.53744,0.39929,0.97056,0.96679,0.86811,0.93182,0.78712,0.54021,0.40882,0.99114,0.00493546,0.00493546,0.00493546
11,884.707,0.55098,0.40081,0.97941,0.92687,0.89191,0.91968,0.81479,0.44486,0.39915,0.94942,0.00492971,0.00492971,0.00492971
12,966.141,0.54447,0.38723,0.9829,0.94144,0.85696,0.89949,0.76575,0.51134,0.42993,1.0102,0.00492337,0.00492337,0.00492337
13,1047.05,0.52061,0.38437,0.9692,0.96572,0.86814,0.9142,0.79057,0.49353,0.43962,1.00212,0.00491642,0.00491642,0.00491642
14,1131.3,0.52768,0.39114,0.96883,0.9569,0.85261,0.92244,0.7997,0.47199,0.41463,0.96517,0.00490888,0.00490888,0.00490888
1,76.2706,0.30706,0.205,0.85203,0.98184,0.91524,0.96022,0.90223,0.33504,0.27759,0.85501,0.0272239,0.000230061,0.000230061
2,157.104,0.29802,0.19446,0.84557,0.97426,0.92459,0.96266,0.9074,0.30477,0.24471,0.84087,0.00429598,0.000461628,0.000461628
3,236.649,0.29685,0.19262,0.84059,0.99704,0.92058,0.95713,0.90389,0.31236,0.23234,0.84844,0.000499878,0.000499878,0.000499878
4,317.684,0.28428,0.1857,0.83638,0.99092,0.91832,0.9608,0.90603,0.29877,0.23101,0.84008,0.000499725,0.000499725,0.000499725
5,399.108,0.29129,0.19351,0.83784,0.99287,0.92255,0.96217,0.91315,0.29497,0.23735,0.8341,0.000499511,0.000499511,0.000499511
6,480.523,0.28703,0.18753,0.83761,0.99585,0.93625,0.96118,0.91149,0.29364,0.24104,0.83888,0.000499235,0.000499235,0.000499235
7,561.14,0.2858,0.19278,0.84113,0.98937,0.92661,0.96315,0.90449,0.3036,0.25017,0.84391,0.000498899,0.000498899,0.000498899
8,641.819,0.28563,0.1915,0.83722,0.98819,0.91887,0.96322,0.90236,0.31329,0.25016,0.85105,0.000498502,0.000498502,0.000498502
9,723.407,0.27489,0.18523,0.84024,0.99343,0.92388,0.9699,0.91802,0.30393,0.25027,0.85409,0.000498044,0.000498044,0.000498044
10,803.888,0.2747,0.1849,0.83429,0.99461,0.92027,0.96256,0.91319,0.28618,0.23299,0.8395,0.000497526,0.000497526,0.000497526
11,885.124,0.27877,0.18784,0.83324,1,0.92447,0.96262,0.91618,0.28922,0.24241,0.83773,0.000496947,0.000496947,0.000496947
12,966.123,0.2655,0.17709,0.82889,0.99657,0.92279,0.96099,0.91132,0.29961,0.24331,0.84496,0.000496307,0.000496307,0.000496307
13,1046.87,0.26482,0.18277,0.82927,0.98893,0.9194,0.95974,0.91124,0.2957,0.24927,0.84504,0.000495607,0.000495607,0.000495607
14,1127.99,0.26735,0.18192,0.82423,0.97164,0.92751,0.96291,0.91519,0.29847,0.24958,0.84142,0.000494847,0.000494847,0.000494847
15,1209.29,0.26811,0.1768,0.82822,0.98544,0.91819,0.96475,0.9154,0.28272,0.22587,0.83321,0.000494027,0.000494027,0.000494027
16,1292.24,0.27295,0.18621,0.83305,0.99754,0.92422,0.96282,0.91598,0.28184,0.22517,0.83015,0.000493148,0.000493148,0.000493148
17,1373.97,0.26591,0.18158,0.82904,0.97572,0.92979,0.96416,0.91568,0.28337,0.22536,0.83282,0.000492208,0.000492208,0.000492208
18,1455.67,0.26771,0.18809,0.82824,0.98165,0.92486,0.96151,0.91701,0.27326,0.231,0.82726,0.00049121,0.00049121,0.00049121
19,1537.75,0.26452,0.18015,0.82793,0.97825,0.9171,0.96094,0.91458,0.28285,0.24173,0.8342,0.000490153,0.000490153,0.000490153
20,1619.89,0.26728,0.18188,0.82697,0.98218,0.92145,0.96332,0.91343,0.27731,0.2292,0.83921,0.000489036,0.000489036,0.000489036
21,1705.01,0.26323,0.17946,0.83104,0.98823,0.92461,0.96174,0.92024,0.27917,0.22423,0.83575,0.000487862,0.000487862,0.000487862
22,1790.48,0.25898,0.17781,0.82749,0.98521,0.92189,0.96412,0.90925,0.28355,0.2257,0.84269,0.000486629,0.000486629,0.000486629
23,1874.73,0.26267,0.18033,0.82787,0.99282,0.92252,0.96808,0.91855,0.29054,0.23373,0.83809,0.000485338,0.000485338,0.000485338
24,1959.48,0.26369,0.1817,0.83172,0.99214,0.92961,0.96526,0.92192,0.27605,0.20133,0.83328,0.00048399,0.00048399,0.00048399
25,2044.41,0.25447,0.17467,0.82306,0.99545,0.9236,0.96584,0.92492,0.28139,0.22309,0.83857,0.000482584,0.000482584,0.000482584
26,2127.59,0.25806,0.17846,0.83386,0.98671,0.92626,0.96628,0.91435,0.28357,0.22194,0.83994,0.000481122,0.000481122,0.000481122
27,2210.08,0.26318,0.17699,0.83914,0.97896,0.93376,0.96919,0.92512,0.28323,0.23758,0.8358,0.000479603,0.000479603,0.000479603
28,2291.61,0.24881,0.16837,0.81957,0.98568,0.91995,0.9684,0.91892,0.27817,0.21596,0.83564,0.000478028,0.000478028,0.000478028
29,2375.08,0.25264,0.16983,0.82952,0.9965,0.92257,0.96562,0.91798,0.27926,0.23163,0.83658,0.000476397,0.000476397,0.000476397
30,2457.32,0.2544,0.17265,0.82974,0.98549,0.93131,0.96309,0.91705,0.28206,0.22102,0.83773,0.00047471,0.00047471,0.00047471
31,2539.18,0.25791,0.17906,0.83262,0.98963,0.92241,0.9668,0.91361,0.28951,0.222,0.84134,0.000472969,0.000472969,0.000472969
32,2620.51,0.24577,0.17129,0.82765,0.97318,0.93358,0.96421,0.91322,0.292,0.22271,0.84331,0.000471173,0.000471173,0.000471173
33,2702.33,0.25241,0.1723,0.82851,0.99469,0.92124,0.96569,0.9161,0.29039,0.22624,0.83776,0.000469323,0.000469323,0.000469323
34,2784.52,0.25068,0.17926,0.82137,0.97803,0.9303,0.96828,0.91676,0.28522,0.22331,0.84087,0.00046742,0.00046742,0.00046742
35,2866.67,0.24402,0.17285,0.81748,0.99555,0.92755,0.96834,0.91699,0.27727,0.22037,0.83486,0.000465463,0.000465463,0.000465463
36,2948.22,0.24659,0.17237,0.82275,0.99487,0.93061,0.96486,0.91674,0.27631,0.21557,0.83105,0.000463454,0.000463454,0.000463454
37,3029.41,0.25018,0.17207,0.82472,0.96564,0.94042,0.96304,0.91935,0.28258,0.21398,0.83389,0.000461393,0.000461393,0.000461393
38,3111.17,0.24718,0.17126,0.82622,0.99221,0.92154,0.96574,0.91473,0.28052,0.20395,0.83699,0.000459279,0.000459279,0.000459279
39,3193.31,0.25064,0.17784,0.82663,0.98061,0.92926,0.96824,0.91318,0.29044,0.19992,0.85049,0.000457115,0.000457115,0.000457115
40,3274.82,0.24213,0.16548,0.81738,0.99141,0.92776,0.95937,0.91304,0.29564,0.22844,0.8523,0.0004549,0.0004549,0.0004549
41,3357.05,0.24627,0.17066,0.81818,0.99645,0.92694,0.95615,0.91234,0.28364,0.22741,0.84197,0.000452635,0.000452635,0.000452635
42,3439.23,0.23732,0.16357,0.82095,0.99749,0.9285,0.96406,0.91736,0.288,0.21748,0.8463,0.000450321,0.000450321,0.000450321
43,3521.6,0.23044,0.15844,0.814,0.99258,0.92438,0.96535,0.91811,0.27675,0.224,0.83744,0.000447957,0.000447957,0.000447957
44,3603.9,0.23549,0.16216,0.81495,0.99151,0.91723,0.96388,0.91347,0.27782,0.22462,0.83709,0.000445546,0.000445546,0.000445546
45,3686.34,0.24026,0.16782,0.82064,0.98607,0.92701,0.96252,0.9214,0.27174,0.21617,0.83617,0.000443086,0.000443086,0.000443086
46,3768.36,0.23509,0.16377,0.81914,0.98303,0.92475,0.96261,0.91894,0.2725,0.2275,0.83267,0.000440579,0.000440579,0.000440579
47,3849.48,0.24118,0.16945,0.82028,0.98505,0.92642,0.96569,0.91516,0.28942,0.21732,0.84757,0.000438026,0.000438026,0.000438026
48,3931.51,0.23716,0.16373,0.80936,0.99434,0.92183,0.96822,0.92209,0.27886,0.22515,0.8346,0.000435427,0.000435427,0.000435427
49,4013.78,0.24388,0.16988,0.82532,0.99664,0.92322,0.96917,0.92291,0.27385,0.22734,0.83556,0.000432783,0.000432783,0.000432783
50,4099.51,0.23554,0.16814,0.81802,0.97919,0.92145,0.96373,0.92093,0.2758,0.23945,0.84286,0.000430094,0.000430094,0.000430094
51,4184.6,0.23409,0.16322,0.81351,0.99779,0.92127,0.96182,0.91463,0.28984,0.2313,0.84954,0.000427361,0.000427361,0.000427361
52,4267.53,0.23134,0.16033,0.81843,0.99375,0.91698,0.95811,0.92151,0.26773,0.22559,0.83367,0.000424585,0.000424585,0.000424585
53,4350.33,0.23157,0.16531,0.81362,0.99472,0.92203,0.9601,0.91946,0.27293,0.22461,0.83308,0.000421766,0.000421766,0.000421766
